designation,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 604951542416706944,604951542416706944,133.2740941789441,0.038540646,12.072255505428043,0.018976089,0.34666605019354246,0.045478635,-6.004952804942075,0.049596846,-6.595148504535012,0.033182304,0.9353138,7066.5100139407605,2.7281494,16.064354,4057.358188283685,11.054319,16.317934,4396.308416819711,11.730583,15.640175,0.6777592,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,6451.128,4.3027,-1.9624,2130.44,0.1958,0.1702,0.0933
Gaia DR3 604951572480336512,604951572480336512,133.21849035757037,0.115673825,12.048890328825205,0.06103183,0.5928380877343017,0.13730161,-3.826591522254708,0.14509554,-0.16997066657161897,0.09812739,0.9974862,1076.635276030216,1.1793169,18.107195,379.1945531802901,9.603387,18.891388,979.0855795088842,9.077744,17.270844,1.6205444,,,NOT_AVAILABLE,0,false,false,false,false,false,true,true,4020.0447,4.7089,-1.4298,855.0168,0.0059,0.0043,0.0023
Gaia DR3 604951611136188544,604951611136188544,133.2275525261907,0.07883214,12.063396172898068,0.040347777,2.334488971974426,0.08766862,-0.4274888966521653,0.09880016,-23.194451104908516,0.06838156,0.97495246,2236.5863467423414,1.7553666,17.313402,588.6793702022419,8.814332,18.413845,2452.8778093600818,11.361665,16.273706,2.1401386,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,3752.7893,4.769,-0.1986,434.7224,0.5861,0.4039,0.2332
Gaia DR3 604951679855664896,604951679855664896,133.22107847040158,0.019605704,12.079612120953064,0.009676986,1.346145652612059,0.02277474,1.4006852133898329,0.024753,-20.757200285238373,0.016896002,1.0028749,37431.92899070714,7.0332165,14.254261,19043.917489551397,22.549078,14.639152,26168.800933092632,23.870955,13.703436,0.9357157,16.02886,4.6143384,NOT_AVAILABLE,0,true,true,false,false,false,true,true,5480.3965,4.4393,-0.0746,646.7897,0.0313,0.0256,0.0136
Gaia DR3 604951709919296000,604951709919296000,133.23995534773542,0.13605113,12.069468436788592,0.07461614,0.13521402286547837,0.15945627,-0.5390429467344847,0.16999896,-2.8732921759278023,0.11508151,0.9441532,811.8467104632126,1.0475454,18.413681,342.32384738113115,9.470141,19.002449,650.8748502801736,8.606891,17.714151,1.2882977,,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,4520.2163,4.7994,-1.125,1477.4896,0.0103,0.0079,0.0043
Gaia DR3 604951748575139200,604951748575139200,133.2558101711259,0.032837298,12.075877350783724,0.017103286,0.6601035974501466,0.039314844,-2.3102436616652877,0.04217927,-1.6347053125133715,0.03007981,0.9603873,9521.359931170655,3.012961,15.74062,5124.034990397432,14.008727,16.064512,6349.0017031086,10.469565,15.241132,0.8233805,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5600.916,4.5675,-0.7253,1099.9471,0.0061,0.0051,0.0028
Gaia DR3 604951782934879360,604951782934879360,133.22472020245525,0.052894,12.08386043950379,0.026078563,1.175934015563469,0.06755398,-2.7355516134891023,0.07149529,-6.050378475109291,0.043032754,0.98797315,4650.892928382711,2.329173,16.518526,1886.6230649784884,9.110604,17.14933,3933.4545713809557,10.215004,15.760961,1.3883696,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4524.3325,4.6106,0.1311,837.8344,0.1961,0.1494,0.0783
Gaia DR3 604951813001103744,604951813001103744,133.2463153789791,4.4118404,12.096678679342682,1.8104479,,,,,,,,68.00477099978899,0.71620464,21.106018,124.59090352070827,7.612781,20.099827,325.55160660191854,13.393202,18.466347,1.6334801,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 604951817294615680,604951817294615680,133.24647896664524,0.04008206,12.095080898821902,0.019502938,0.5782591152072729,0.046232283,-3.9978636903782374,0.051468983,-13.610987807807122,0.033849247,2.0561335,36473.58310851621,6.1580114,14.282421,17635.15491602177,20.411242,14.722594,26843.31197808218,24.480083,13.675805,1.0467892,31.629517,4.666841,NOT_AVAILABLE,0,true,true,false,false,false,false,true,,,,,,,
Gaia DR3 604952126532258944,604952126532258944,133.2685667441127,0.02759964,12.087181498688311,0.013998337,1.0957994495441419,0.03299811,2.800849676321353,0.035295747,-5.477358351975455,0.023993684,0.9996609,13816.711589973207,3.571462,15.336355,7115.583090279961,13.509947,15.708016,9598.373642191083,10.308519,14.792401,0.9156151,,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5466.9644,4.5784,-0.5236,833.7338,0.1153,0.0954,0.0514
